 0.995187219997021366e0 0.123412297999871993e-01
 0.974728555971309502e0 0.285313886289336634e-01
 0.938274552002732756e0 0.442774388174198060e-01
 0.886415527004401030e0 0.592985849154367807e-01
 0.820001985973902919e0 0.733464814110802998e-01
 0.740124191578554358e0 0.861901615319532743e-01
 0.648093651936975573e0 0.976186521041138844e-01
 0.545421471388839535e0 0.107444270115965634e0
 0.433793507626045141e0 0.115505668053725599e0
 0.315042679696163369e0 0.121670472927803391e0
 0.191118867473616311e0 0.125837456346828303e0
 0.640568928626056300e-01 0.127938195346752159e0
 -0.640568928626056300e-01 0.127938195346752159e0
 -0.191118867473616311e0 0.125837456346828303e0
 -0.315042679696163369e0 0.121670472927803391e0
 -0.433793507626045141e0 0.115505668053725599e0
 -0.545421471388839535e0 0.107444270115965634e0
 -0.648093651936975573e0 0.976186521041138844e-01
 -0.740124191578554358e0 0.861901615319532743e-01
 -0.820001985973902919e0 0.733464814110802998e-01
 -0.886415527004401030e0 0.592985849154367807e-01
 -0.938274552002732756e0 0.442774388174198060e-01
 -0.974728555971309502e0 0.285313886289336634e-01
 -0.995187219997021366e0 0.123412297999871993e-01
